# CLASS transfer function for vanilla LCDM with 3 massless neutrinos
# omega_b = 0.022383, omega_cdm = 0.12011, h = 0.6732, ln10^{10}A_s = 3.0448, n_s = 0.96605
# (cosmo parameters taken from first column in Table 1 of arxiv:1807.06209)
# 1:k (h/Mpc)   2:T(k)
4.13243e-04        9.97336e-01
4.15470e-04        9.97316e-01
4.17709e-04        9.97295e-01
4.19960e-04        9.97273e-01
4.22223e-04        9.97252e-01
4.24498e-04        9.97230e-01
4.26786e-04        9.97208e-01
4.29086e-04        9.97186e-01
4.31398e-04        9.97164e-01
4.33723e-04        9.97142e-01
4.36060e-04        9.97119e-01
4.38410e-04        9.97096e-01
4.40773e-04        9.97073e-01
4.43148e-04        9.97049e-01
4.45536e-04        9.97026e-01
4.47937e-04        9.97002e-01
4.50351e-04        9.96978e-01
4.52778e-04        9.96954e-01
4.55218e-04        9.96929e-01
4.57671e-04        9.96904e-01
4.60138e-04        9.96879e-01
4.62617e-04        9.96854e-01
4.65110e-04        9.96829e-01
4.67617e-04        9.96803e-01
4.70137e-04        9.96777e-01
4.72670e-04        9.96751e-01
4.75217e-04        9.96724e-01
4.77778e-04        9.96697e-01
4.80353e-04        9.96670e-01
4.82942e-04        9.96643e-01
4.85544e-04        9.96616e-01
4.88161e-04        9.96588e-01
4.90791e-04        9.96560e-01
4.93436e-04        9.96531e-01
4.96095e-04        9.96503e-01
4.98769e-04        9.96474e-01
5.01457e-04        9.96445e-01
5.04159e-04        9.96415e-01
5.06876e-04        9.96386e-01
5.09607e-04        9.96356e-01
5.12354e-04        9.96325e-01
5.15115e-04        9.96295e-01
5.17891e-04        9.96264e-01
5.20682e-04        9.96233e-01
5.23487e-04        9.96202e-01
5.26309e-04        9.96170e-01
5.29145e-04        9.96138e-01
5.31996e-04        9.96106e-01
5.34863e-04        9.96073e-01
5.37746e-04        9.96040e-01
5.40643e-04        9.96007e-01
5.43557e-04        9.95973e-01
5.46486e-04        9.95939e-01
5.49431e-04        9.95905e-01
5.52392e-04        9.95871e-01
5.55369e-04        9.95836e-01
5.58362e-04        9.95801e-01
5.61371e-04        9.95765e-01
5.64396e-04        9.95729e-01
5.67437e-04        9.95693e-01
5.70495e-04        9.95657e-01
5.73570e-04        9.95620e-01
5.76661e-04        9.95583e-01
5.79768e-04        9.95546e-01
